description, level, linenumber, rule, ruleId, rulenamespace, section, source, tool
The class must have a documentation header., Warning, 9, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.StaticTester2.Program, C:\Users\320067390\Music\StaticAnalyzer\MS2-Case2-Phase1-master\StaticAnalyzerWebServiceSolution\Inputs\StaticTester2\StaticTester2\StaticTester2\Program.cs, StyleCop
The method must have a documentation header., Warning, 11, ElementsMustBeDocumented, SA1600, StyleCop.CSharp.DocumentationRules, Root.StaticTester2.Program.Main%string[], C:\Users\320067390\Music\StaticAnalyzer\MS2-Case2-Phase1-master\StaticAnalyzerWebServiceSolution\Inputs\StaticTester2\StaticTester2\StaticTester2\Program.cs, StyleCop
The file has no header  the header Xml is invalid  or the header is not located at the top of the file., Warning, 1, FileMustHaveHeader, SA1633, StyleCop.CSharp.DocumentationRules, Root, C:\Users\320067390\Music\StaticAnalyzer\MS2-Case2-Phase1-master\StaticAnalyzerWebServiceSolution\Inputs\StaticTester2\StaticTester2\StaticTester2\Program.cs, StyleCop
The class must have an access modifier., Warning, 9, AccessModifierMustBeDeclared, SA1400, StyleCop.CSharp.MaintainabilityRules, Root.StaticTester2.Program, C:\Users\320067390\Music\StaticAnalyzer\MS2-Case2-Phase1-master\StaticAnalyzerWebServiceSolution\Inputs\StaticTester2\StaticTester2\StaticTester2\Program.cs, StyleCop
The method must have an access modifier., Warning, 11, AccessModifierMustBeDeclared, SA1400, StyleCop.CSharp.MaintainabilityRules, Root.StaticTester2.Program.Main%string[], C:\Users\320067390\Music\StaticAnalyzer\MS2-Case2-Phase1-master\StaticAnalyzerWebServiceSolution\Inputs\StaticTester2\StaticTester2\StaticTester2\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 1, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System, C:\Users\320067390\Music\StaticAnalyzer\MS2-Case2-Phase1-master\StaticAnalyzerWebServiceSolution\Inputs\StaticTester2\StaticTester2\StaticTester2\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 2, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Collections.Generic, C:\Users\320067390\Music\StaticAnalyzer\MS2-Case2-Phase1-master\StaticAnalyzerWebServiceSolution\Inputs\StaticTester2\StaticTester2\StaticTester2\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 3, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Linq, C:\Users\320067390\Music\StaticAnalyzer\MS2-Case2-Phase1-master\StaticAnalyzerWebServiceSolution\Inputs\StaticTester2\StaticTester2\StaticTester2\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 4, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Text, C:\Users\320067390\Music\StaticAnalyzer\MS2-Case2-Phase1-master\StaticAnalyzerWebServiceSolution\Inputs\StaticTester2\StaticTester2\StaticTester2\Program.cs, StyleCop
All using directives must be placed inside of the namespace., Warning, 5, UsingDirectivesMustBePlacedWithinNamespace, SA1200, StyleCop.CSharp.OrderingRules, Root.System.Threading.Tasks, C:\Users\320067390\Music\StaticAnalyzer\MS2-Case2-Phase1-master\StaticAnalyzerWebServiceSolution\Inputs\StaticTester2\StaticTester2\StaticTester2\Program.cs, StyleCop
